word	file	lines
adaptor	11d-CUT-and-RUN.Rmd	84
adaptor	11d-CUT-and-RUN.md	70
adaptor	11d-CUT-and-RUN.md	70
Andrés	13-microbiome.Rmd	38
Audiographer	About.md	34
Audiography	About.md	35
Brejnrod	13-microbiome.Rmd	38
Bubonic	13-microbiome.Rmd	22
Cailin	About.Rmd	14
Cailin	About.md	14
Cailin	About.md	14
Caraballo	13-microbiome.Rmd	38
creativecommons	LICENSE.md	378,395
CUTRUN	About.Rmd	14
CUTRUN	About.md	14
CUTRUN	About.md	14
CUTTag	About.Rmd	14
CUTTag	About.md	14
CUTTag	About.md	14
DISCOVERABLE	LICENSE.md	286
enforceability	LICENSE.md	359
faq	code_of_conduct.md	123
FHDaSL	index.Rmd	2
FirstName	About.md	12,111
Funder	About.Rmd	25
Funder	About.md	25
Funder	About.md	37
Funder	About.md	25
Generis	LICENSE.md	85,123,262,264,271
ies	LICENSE.md	112
immunities	LICENSE.md	370
introductiion	13-microbiome.Rmd	34
Kang	13-microbiome.Rmd	38
LastName	About.md	12,111
Ley	13-microbiome.Rmd	38
Licensor	LICENSE.md	59,71,103,107,112,333,344,366,370,378
LICENSOR	LICENSE.md	286,297
MERCHANTABILITY	LICENSE.md	286
Muschelli	About.Rmd	23
Muschelli	About.md	23
Muschelli	About.md	28,111
Muschelli	About.md	23
nf	11d-CUT-and-RUN.Rmd	285
nf	11d-CUT-and-RUN.md	259
nf	11d-CUT-and-RUN.md	259
Ormbrek	About.Rmd	26
Ormbrek	About.md	26
Ormbrek	About.md	26
Ospina	About.Rmd	14
Ospina	About.md	14
Ospina	About.md	14
preprint	index.Rmd	23
Savonen	About.Rmd	12,13,19,20,21,22,23
Savonen	About.md	12,13,19,20,21,22,23
Savonen	About.md	25,26,27,28,111
Savonen	About.md	12,13,19,20,21,22,23
sexualized	code_of_conduct.md	30
socio	code_of_conduct.md	6
synched	LICENSE.md	71
tradditional	11d-CUT-and-RUN.Rmd	51
tradditional	11d-CUT-and-RUN.md	39
tradditional	11d-CUT-and-RUN.md	39
Videographer	About.md	32
Videography	About.md	33
WIPO	LICENSE.md	93
Xin	13-microbiome.Rmd	38
Xu	13-microbiome.Rmd	38
Zheng	About.Rmd	14
Zheng	About.md	14
Zheng	About.md	14
